id,perseverance_effort,consistency_interest,true_grit,observed_grit_score,conscientiousness,social_support,prior_achievement,long_term_outcome
1,0.77,0.63,0.714,0.802,0.72,0.56,0.49,0.91
2,-0.42,0.19,-0.176,-0.251,-0.29,0.14,-0.33,-0.22
3,1.14,0.91,1.048,1.116,1.02,0.81,0.86,1.39
4,0.11,-0.48,-0.126,-0.072,0.07,-0.12,0.22,0.04
5,-0.84,-0.39,-0.660,-0.734,-0.77,-0.53,-0.61,-0.98
6,0.59,0.74,0.650,0.711,0.62,0.67,0.43,0.84
7,0.34,-0.07,0.176,0.239,0.29,0.35,0.19,0.38
8,-0.36,-0.71,-0.500,-0.582,-0.45,-0.29,-0.37,-0.66
9,0.96,0.47,0.764,0.851,0.81,0.83,0.63,1.15
10,-0.54,0.04,-0.308,-0.351,-0.40,0.13,-0.43,-0.36
