id,attention_regulation,emotion_regulation,impulse_control,self_control,perseverance_effort,consistency_interests,grit,conscientiousness,social_support,prior_achievement,burnout,daily_task_completion,long_term_goal_progress
1,0.74,0.62,0.81,0.724,0.91,0.68,0.818,0.86,0.55,0.49,-0.31,1.12,1.04
2,-0.42,0.18,-0.31,-0.205,-0.28,0.16,-0.104,-0.25,0.12,-0.33,0.42,-0.34,-0.22
3,1.10,0.88,0.95,0.990,1.20,0.91,1.084,1.15,0.82,0.88,-0.55,1.61,1.47
4,0.12,-0.44,0.06,-0.066,0.08,-0.49,-0.148,0.02,-0.13,0.21,0.24,-0.09,0.02
5,-0.80,-0.57,-0.69,-0.697,-0.74,-0.62,-0.692,-0.78,-0.51,-0.60,0.72,-1.12,-0.98
6,0.56,0.72,0.64,0.632,0.76,0.73,0.748,0.70,0.67,0.44,-0.22,0.92,0.87
7,0.31,0.04,-0.12,0.100,0.42,-0.08,0.220,0.31,0.35,0.18,0.05,0.38,0.31
8,-0.39,-0.73,-0.51,-0.524,-0.46,-0.70,-0.556,-0.52,-0.29,-0.36,0.63,-0.82,-0.70
9,0.94,0.49,0.77,0.752,1.02,0.52,0.820,0.91,0.83,0.62,-0.40,1.18,1.13
10,-0.54,0.02,-0.28,-0.270,-0.20,0.04,-0.104,-0.22,0.14,-0.42,0.34,-0.29,-0.18
