id,perseverance_effort,consistency_interest,self_control,conscientiousness,social_support,prior_achievement,achievement_outcome
1,0.72,0.64,0.58,0.69,0.51,0.47,0.82
2,-0.44,0.21,-0.18,-0.31,0.12,-0.29,-0.19
3,1.15,0.83,0.91,1.02,0.76,0.88,1.31
4,0.08,-0.52,0.14,0.06,-0.17,0.21,-0.03
5,-0.81,-0.39,-0.62,-0.73,-0.48,-0.57,-0.91
6,0.53,0.71,0.49,0.56,0.64,0.38,0.73
7,0.29,-0.11,0.21,0.24,0.35,0.17,0.28
8,-0.36,-0.68,-0.41,-0.46,-0.22,-0.33,-0.58
9,0.97,0.42,0.74,0.82,0.79,0.62,1.08
10,-0.52,0.04,-0.27,-0.39,0.16,-0.41,-0.31
