id,perseverance_effort,consistency_interests,grit,intrinsic_interest,identified_value,purpose_orientation,extrinsic_pressure,motivation,superordinate_clarity,midlevel_planning,daily_action_alignment,goal_hierarchy_coherence,social_support,feedback_quality,burnout,long_term_progress
1,0.82,0.64,0.748,0.71,0.78,0.84,0.25,0.722,0.86,0.74,0.69,0.764,0.58,0.61,-0.32,1.16
2,-0.38,0.11,-0.184,0.14,0.28,0.18,0.62,0.270,-0.21,-0.34,-0.18,-0.242,0.12,0.20,0.42,-0.31
3,1.15,0.92,1.058,0.90,0.88,0.94,0.32,0.870,0.98,0.91,0.86,0.918,0.80,0.88,-0.48,1.72
4,0.12,-0.51,-0.132,-0.22,0.06,0.10,0.40,0.060,0.14,-0.20,0.08,0.015,-0.12,-0.42,0.36,-0.08
5,-0.80,-0.63,-0.732,-0.54,-0.68,-0.71,0.81,-0.483,-0.76,-0.69,-0.64,-0.699,-0.48,-0.56,0.78,-1.12
6,0.59,0.74,0.650,0.62,0.76,0.82,0.18,0.676,0.73,0.68,0.71,0.708,0.70,0.71,-0.24,1.02
7,0.34,-0.07,0.176,0.36,0.31,0.40,0.22,0.339,0.41,0.18,0.26,0.291,0.34,0.31,0.05,0.43
8,-0.44,-0.72,-0.552,-0.36,-0.42,-0.58,0.70,-0.286,-0.50,-0.61,-0.55,-0.552,-0.29,-0.63,0.66,-0.86
9,0.96,0.52,0.784,0.84,0.77,0.80,0.30,0.762,0.82,0.79,0.77,0.793,0.84,0.82,-0.38,1.30
10,-0.22,0.03,-0.120,0.08,0.18,0.12,0.50,0.180,-0.10,-0.16,-0.05,-0.101,0.14,0.08,0.29,-0.20
