participant_id,age,developmental_stage,perseverance_item_1,perseverance_item_2,perseverance_item_3,perseverance_item_4,consistency_item_1,consistency_item_2,consistency_item_3,consistency_item_4,purpose_alignment,feedback_responsiveness,recovery_capacity,social_support,burnout_risk,adaptive_persistence,wellbeing,goal_progress
1,16,adolescence,4,5,4,5,3,4,3,4,4.2,4.4,3.8,4.5,2.1,4.2,4.0,4.1
2,17,adolescence,3,3,4,3,2,3,2,3,3.1,3.5,3.2,3.8,3.4,3.2,3.3,3.0
3,20,emerging_adulthood,4,4,5,4,3,3,4,3,4.0,4.2,3.7,4.0,2.8,4.1,3.9,4.0
4,24,emerging_adulthood,5,4,5,5,4,4,4,4,4.5,4.6,4.2,4.4,2.0,4.6,4.3,4.5
5,31,adulthood,4,5,5,4,4,5,4,5,4.7,4.1,3.9,4.2,2.6,4.4,4.1,4.3
6,39,adulthood,3,4,3,4,4,4,3,4,3.8,3.7,3.0,3.5,3.9,3.4,3.2,3.5
7,45,adulthood,5,5,4,5,5,4,5,4,4.8,4.5,4.3,4.6,1.8,4.7,4.5,4.6
8,57,later_adulthood,4,4,4,5,5,5,4,5,4.9,4.0,4.1,4.7,2.2,4.3,4.6,4.1
9,63,later_adulthood,3,4,4,3,4,4,4,5,4.5,3.8,3.9,4.2,2.4,4.0,4.4,3.9
10,19,emerging_adulthood,2,3,3,2,2,2,3,2,2.8,3.1,2.6,3.0,4.2,2.7,2.9,2.6
11,28,emerging_adulthood,4,4,4,5,3,4,4,4,4.1,4.0,3.6,3.9,2.7,4.0,3.8,4.0
12,34,adulthood,5,5,5,4,4,4,5,4,4.6,4.7,4.0,4.3,2.3,4.6,4.2,4.7
