id,perseverance_effort,consistency_interests,grit,prior_preparation,deliberate_practice,feedback_quality,social_support,opportunity_access,health_stability,burnout,long_term_achievement
1,0.82,0.64,0.748,0.51,0.86,0.61,0.58,0.70,0.64,-0.28,1.18
2,-0.38,0.11,-0.184,-0.22,-0.18,0.20,0.12,-0.42,0.08,0.37,-0.35
3,1.15,0.92,1.058,0.88,1.32,0.88,0.80,0.96,0.84,-0.50,1.74
4,0.12,-0.51,-0.132,0.19,-0.20,-0.42,-0.12,-0.18,-0.05,0.36,-0.14
5,-0.80,-0.63,-0.732,-0.61,-0.88,-0.56,-0.48,-0.74,-0.62,0.78,-1.16
6,0.59,0.74,0.650,0.43,0.92,0.71,0.70,0.66,0.73,-0.22,1.06
7,0.34,-0.07,0.176,0.18,0.34,0.31,0.34,0.27,0.30,0.05,0.44
8,-0.44,-0.72,-0.552,-0.36,-0.66,-0.63,-0.29,-0.58,-0.41,0.68,-0.88
9,0.96,0.52,0.784,0.62,1.11,0.82,0.84,0.78,0.77,-0.40,1.33
10,-0.22,0.03,-0.120,-0.42,-0.12,0.08,0.14,-0.33,0.11,0.28,-0.24
