id,industriousness,orderliness,dependability,responsibility,achievement_striving,conscientiousness,perseverance_effort,consistency_interests,grit,prior_achievement,social_support,burnout,long_term_progress
1,0.81,0.52,0.67,0.74,0.79,0.720,0.91,0.63,0.798,0.51,0.55,-0.31,1.08
2,-0.35,0.21,-0.22,-0.18,-0.31,-0.190,-0.28,0.16,-0.104,-0.33,0.12,0.42,-0.24
3,1.12,0.88,0.93,0.99,1.06,1.010,1.22,0.92,1.100,0.88,0.82,-0.55,1.52
4,0.07,-0.41,0.11,0.04,0.18,-0.003,0.12,-0.48,-0.120,0.21,-0.13,0.24,-0.02
5,-0.77,-0.56,-0.61,-0.69,-0.72,-0.678,-0.74,-0.62,-0.692,-0.60,-0.51,0.72,-0.94
6,0.58,0.49,0.53,0.62,0.66,0.581,0.76,0.73,0.748,0.44,0.67,-0.22,0.88
7,0.33,0.09,0.21,0.18,0.28,0.227,0.42,-0.08,0.220,0.18,0.35,0.05,0.30
8,-0.44,-0.72,-0.51,-0.46,-0.39,-0.493,-0.46,-0.70,-0.556,-0.36,-0.29,0.63,-0.73
9,0.94,0.63,0.77,0.84,0.89,0.821,1.02,0.52,0.820,0.62,0.83,-0.40,1.16
10,-0.22,0.03,-0.18,-0.25,-0.12,-0.162,-0.20,0.04,-0.104,-0.42,0.14,0.34,-0.18
