id,perseverance_effort,consistency_interests,grit,narrative_coherence,agency,meaning_making,future_orientation,narrative_identity,social_support,feedback_quality,opportunity_access,health_stability,institutional_trust,burnout,narrative_strain,long_term_persistence
1,0.82,0.64,0.748,0.76,0.82,0.70,0.84,0.780,0.58,0.61,0.70,0.64,0.72,-0.30,-0.28,1.22
2,-0.38,0.11,-0.184,-0.22,-0.30,0.10,0.16,-0.087,0.12,0.20,-0.42,0.08,-0.20,0.38,0.44,-0.32
3,1.15,0.92,1.058,0.94,0.96,0.88,0.92,0.927,0.80,0.88,0.96,0.84,0.90,-0.52,-0.46,1.82
4,0.12,-0.51,-0.132,0.08,0.04,0.12,-0.18,0.022,-0.12,-0.42,-0.18,-0.05,0.05,0.34,0.36,-0.12
5,-0.80,-0.63,-0.732,-0.68,-0.72,-0.58,-0.62,-0.653,-0.48,-0.56,-0.74,-0.62,-0.66,0.82,0.88,-1.20
6,0.59,0.74,0.650,0.72,0.74,0.68,0.80,0.735,0.70,0.71,0.66,0.73,0.74,-0.22,-0.24,1.14
7,0.34,-0.07,0.176,0.36,0.42,0.34,0.40,0.382,0.34,0.31,0.27,0.30,0.36,0.04,0.02,0.46
8,-0.44,-0.72,-0.552,-0.50,-0.58,-0.40,-0.52,-0.502,-0.29,-0.63,-0.58,-0.41,-0.48,0.68,0.70,-0.88
9,0.96,0.52,0.784,0.86,0.90,0.82,0.88,0.867,0.84,0.82,0.78,0.77,0.86,-0.40,-0.38,1.44
10,-0.22,0.03,-0.120,0.14,-0.10,0.18,0.12,0.085,0.14,0.08,-0.33,0.11,-0.10,0.28,0.32,-0.24
