id,perseverance_effort,consistency_interests,grit,demand_intensity,goal_rigidity,identity_pressure,sunk_cost,recovery_capacity,social_support,autonomy,feedback_responsiveness,goal_fit,overpersistence,burnout_risk,sustainable_persistence
1,0.82,0.64,0.748,0.42,0.30,0.34,0.38,0.70,0.62,0.68,0.74,0.80,0.18,0.02,1.06
2,-0.38,0.11,-0.184,0.66,0.58,0.62,0.70,-0.22,0.12,-0.18,0.08,-0.30,0.78,0.84,-0.74
3,1.15,0.92,1.058,0.88,0.80,0.86,0.92,0.24,0.30,0.18,0.20,0.16,1.10,1.08,-0.18
4,0.12,-0.51,-0.132,0.20,0.10,0.12,0.08,0.56,0.48,0.52,0.50,0.58,-0.18,-0.20,0.72
5,-0.80,-0.63,-0.732,0.92,0.74,0.66,0.82,-0.60,-0.48,-0.52,-0.56,-0.62,0.92,1.18,-1.28
6,0.59,0.74,0.650,0.34,0.20,0.24,0.30,0.82,0.76,0.74,0.78,0.80,0.00,-0.24,1.22
7,0.34,-0.07,0.176,0.18,0.28,0.30,0.32,0.42,0.34,0.38,0.36,0.40,0.20,0.12,0.42
8,-0.44,-0.72,-0.552,0.76,0.70,0.78,0.74,-0.42,-0.30,-0.36,-0.40,-0.46,0.86,0.96,-1.02
9,0.96,0.52,0.784,0.58,0.46,0.42,0.48,0.64,0.70,0.66,0.72,0.78,0.24,0.10,1.00
10,-0.22,0.03,-0.120,0.44,0.36,0.40,0.46,0.10,0.14,0.08,0.12,0.06,0.46,0.44,-0.34
