participant_id,age,developmental_stage,condition,implementation_quality,baseline_perseverance,baseline_consistency,baseline_adaptive_persistence,baseline_support,baseline_stress,baseline_recovery,baseline_burnout_risk,post_perseverance,post_consistency,post_adaptive_persistence,post_purpose_alignment,post_feedback_responsiveness,post_recovery_capacity,post_burnout_risk,post_wellbeing,goal_progress,intervention_acceptability
1,16,adolescence,grit_support,4.4,3.6,3.2,3.4,4.2,2.8,3.7,2.9,4.1,3.4,4.2,4.4,4.3,4.0,2.5,4.1,4.0,4.5
2,17,adolescence,comparison,3.0,3.3,2.8,3.0,3.4,3.6,3.0,3.8,3.4,2.9,3.1,3.2,3.0,3.1,3.7,3.2,3.0,3.1
3,20,emerging_adulthood,grit_support,4.2,3.7,3.1,3.5,3.9,3.1,3.4,3.2,4.2,3.5,4.1,4.3,4.2,3.9,2.8,4.0,4.2,4.4
4,24,emerging_adulthood,grit_support,4.6,4.0,3.8,3.9,4.4,2.6,4.0,2.5,4.5,4.0,4.6,4.6,4.5,4.3,2.1,4.5,4.6,4.7
5,31,adulthood,comparison,3.2,3.8,4.0,3.7,3.6,3.5,3.2,3.7,3.9,4.0,3.8,3.7,3.6,3.3,3.6,3.5,3.6,3.4
6,39,adulthood,grit_support,4.1,3.9,3.9,3.8,4.0,3.2,3.6,3.2,4.3,4.1,4.4,4.2,4.1,4.0,2.8,4.1,4.2,4.3
7,45,adulthood,comparison,3.1,4.1,4.2,4.0,3.8,3.1,3.5,3.2,4.1,4.2,4.0,3.9,3.7,3.5,3.2,3.8,3.9,3.5
8,57,later_adulthood,grit_support,4.3,4.0,4.4,4.1,4.5,2.5,4.0,2.4,4.4,4.5,4.5,4.7,4.2,4.3,2.0,4.6,4.4,4.5
9,63,later_adulthood,comparison,3.3,3.7,4.3,3.9,4.0,2.9,3.8,2.7,3.8,4.3,4.0,4.2,3.8,3.9,2.8,4.1,3.9,3.6
10,19,emerging_adulthood,comparison,2.8,2.9,2.6,2.7,3.0,4.2,2.7,4.3,3.0,2.7,2.8,2.9,2.8,2.8,4.2,2.9,2.8,2.9
11,28,emerging_adulthood,grit_support,4.0,3.8,3.5,3.7,3.9,3.0,3.5,3.1,4.2,3.7,4.2,4.1,4.0,3.9,2.8,4.0,4.1,4.2
12,34,adulthood,grit_support,4.5,4.1,4.0,4.0,4.3,2.7,3.9,2.7,4.6,4.2,4.6,4.6,4.4,4.3,2.2,4.5,4.6,4.6
