id,perseverance_effort,consistency_interests,grit,self_control,prior_preparation,instructional_quality,feedback_quality,belonging,social_support,financial_stress,health_stability,study_effort,burnout,academic_progress,academic_persistence
1,0.82,0.64,0.748,0.72,0.51,0.68,0.61,0.74,0.58,-0.42,0.64,0.92,-0.30,1.08,1.14
2,-0.38,0.11,-0.184,-0.20,-0.22,0.10,0.20,-0.30,0.12,0.70,0.08,-0.28,0.48,-0.31,-0.42
3,1.15,0.92,1.058,0.94,0.88,0.86,0.88,0.92,0.80,-0.55,0.84,1.35,-0.50,1.68,1.74
4,0.12,-0.51,-0.132,0.04,0.19,-0.30,-0.42,0.05,-0.12,0.34,-0.05,-0.11,0.38,-0.16,-0.18
5,-0.80,-0.63,-0.732,-0.70,-0.61,-0.66,-0.56,-0.72,-0.48,0.88,-0.62,-0.92,0.82,-1.12,-1.20
6,0.59,0.74,0.650,0.68,0.43,0.76,0.71,0.70,0.70,-0.24,0.73,0.86,-0.25,1.00,1.08
7,0.34,-0.07,0.176,0.26,0.18,0.28,0.31,0.38,0.34,0.12,0.30,0.33,0.04,0.41,0.46
8,-0.44,-0.72,-0.552,-0.58,-0.36,-0.61,-0.63,-0.52,-0.29,0.74,-0.41,-0.70,0.68,-0.86,-0.92
9,0.96,0.52,0.784,0.78,0.62,0.80,0.82,0.86,0.84,-0.48,0.77,1.08,-0.38,1.31,1.42
10,-0.22,0.03,-0.120,-0.18,-0.42,0.12,0.08,-0.14,0.14,0.45,0.11,-0.17,0.28,-0.22,-0.30
