id,perseverance_effort,consistency_interests,grit,personal_meaning,long_term_direction,beyond_self_contribution,purpose,social_support,feedback_quality,opportunity_access,autonomy_support,health_stability,burnout,long_term_persistence
1,0.82,0.64,0.748,0.74,0.82,0.88,0.813,0.58,0.61,0.70,0.72,0.64,-0.30,1.26
2,-0.38,0.11,-0.184,0.12,0.20,0.28,0.199,0.12,0.20,-0.42,-0.20,0.08,0.38,-0.28
3,1.15,0.92,1.058,0.92,0.94,0.96,0.939,0.80,0.88,0.96,0.90,0.84,-0.52,1.86
4,0.12,-0.51,-0.132,0.08,0.14,-0.18,0.015,-0.12,-0.42,-0.18,0.05,-0.05,0.34,-0.10
5,-0.80,-0.63,-0.732,-0.62,-0.70,-0.58,-0.633,-0.48,-0.56,-0.74,-0.66,-0.62,0.82,-1.24
6,0.59,0.74,0.650,0.80,0.76,0.84,0.800,0.70,0.71,0.66,0.74,0.73,-0.22,1.18
7,0.34,-0.07,0.176,0.34,0.41,0.39,0.380,0.34,0.31,0.27,0.36,0.30,0.04,0.48
8,-0.44,-0.72,-0.552,-0.40,-0.52,-0.60,-0.506,-0.29,-0.63,-0.58,-0.48,-0.41,0.68,-0.92
9,0.96,0.52,0.784,0.86,0.82,0.90,0.860,0.84,0.82,0.78,0.86,0.77,-0.40,1.48
10,-0.22,0.03,-0.120,0.14,0.18,0.12,0.147,0.14,0.08,-0.33,-0.10,0.11,0.28,-0.22
