study_id,sample_size,r_total_grit,r_perseverance,r_consistency,outcome_domain
study_01,420,0.18,0.24,0.07,academic
study_02,850,0.21,0.27,0.10,academic
study_03,310,0.12,0.18,0.04,retention
study_04,1200,0.16,0.22,0.06,performance
study_05,675,0.24,0.30,0.13,academic
study_06,230,0.08,0.15,0.01,wellbeing
study_07,1540,0.19,0.25,0.08,academic
study_08,490,0.14,0.20,0.05,retention
study_09,970,0.22,0.28,0.11,performance
study_10,365,0.10,0.16,0.02,academic
study_11,1880,0.20,0.26,0.09,academic
study_12,740,0.17,0.23,0.06,performance
