id,perseverance_effort,consistency_interests,grit,feedback_quality,coaching_access,prior_skill,social_support,deliberate_practice,burnout,performance
1,0.82,0.64,0.748,0.61,0.55,0.49,0.58,0.86,-0.24,1.04
2,-0.38,0.11,-0.184,0.20,-0.31,-0.22,0.12,-0.18,0.32,-0.30
3,1.15,0.92,1.058,0.88,0.83,0.87,0.80,1.32,-0.49,1.61
4,0.12,-0.51,-0.132,-0.42,0.04,0.19,-0.12,-0.20,0.38,-0.12
5,-0.80,-0.63,-0.732,-0.56,-0.52,-0.61,-0.48,-0.88,0.72,-1.10
6,0.59,0.74,0.650,0.71,0.66,0.43,0.70,0.92,-0.18,0.91
7,0.34,-0.07,0.176,0.31,0.20,0.18,0.34,0.34,0.09,0.37
8,-0.44,-0.72,-0.552,-0.63,-0.35,-0.36,-0.29,-0.66,0.65,-0.84
9,0.96,0.52,0.784,0.82,0.77,0.62,0.84,1.11,-0.36,1.22
10,-0.22,0.03,-0.120,0.08,-0.18,-0.42,0.14,-0.12,0.28,-0.20
