participant_id,age,developmental_stage,perseverance_effort,consistency_interests,grit_composite,self_control,conscientiousness,resilience_recovery,deliberate_practice_quality,motivation_quality,purpose_alignment,growth_mindset,narrative_identity_flexibility,environmental_support,autonomy_support,chronic_stress,demand_intensity,adaptive_persistence,goal_progress,burnout_risk,wellbeing
1,16,adolescence,4.1,3.4,3.75,3.8,3.9,3.7,4.0,4.1,4.2,4.0,3.8,4.1,4.0,2.6,3.0,4.2,4.1,2.4,4.0
2,17,adolescence,3.0,2.8,2.90,3.1,3.2,3.0,3.0,3.1,3.0,3.2,3.1,3.0,3.1,3.8,3.9,3.0,2.9,3.8,3.0
3,20,emerging_adulthood,4.0,3.1,3.55,3.6,3.7,3.5,4.1,4.0,4.1,4.0,3.9,3.8,3.8,3.0,3.4,4.0,4.1,2.9,3.8
4,24,emerging_adulthood,4.5,4.0,4.25,4.1,4.3,4.0,4.4,4.5,4.6,4.3,4.2,4.4,4.3,2.4,3.0,4.7,4.6,2.2,4.4
5,31,adulthood,4.2,4.1,4.15,4.0,4.2,3.8,4.0,4.1,4.4,4.0,4.0,3.9,3.8,3.1,3.6,4.1,4.0,3.2,3.8
6,39,adulthood,3.8,3.7,3.75,3.5,3.8,3.1,3.3,3.5,3.6,3.5,3.4,3.1,3.2,4.0,4.3,3.4,3.2,4.2,3.0
7,45,adulthood,4.6,4.4,4.50,4.2,4.5,4.2,4.5,4.6,4.7,4.4,4.3,4.5,4.4,2.1,3.1,4.8,4.7,2.0,4.5
8,57,later_adulthood,4.0,4.5,4.25,3.9,4.0,4.4,3.9,4.3,4.5,4.1,4.4,4.2,4.1,2.3,3.0,4.3,4.2,2.2,4.4
9,63,later_adulthood,3.8,4.2,4.00,3.7,3.9,4.1,3.8,4.2,4.4,4.0,4.2,3.9,3.8,2.8,3.2,4.0,3.9,2.8,4.1
10,19,emerging_adulthood,2.7,2.5,2.60,2.8,2.9,2.7,2.7,2.8,2.9,2.8,2.7,2.6,2.7,4.3,4.4,2.6,2.6,4.5,2.7
11,28,emerging_adulthood,3.9,3.5,3.70,3.6,3.8,3.7,4.0,4.0,4.1,3.9,3.8,3.9,3.8,2.9,3.4,4.0,4.0,3.0,3.9
12,34,adulthood,4.5,4.1,4.30,4.2,4.4,4.0,4.5,4.4,4.6,4.2,4.1,4.3,4.2,2.2,3.0,4.7,4.6,2.3,4.3
