id,perseverance_effort,consistency_interests,grit_total,conscientiousness,self_control,social_support,prior_achievement,burnout,long_term_outcome
1,0.82,0.71,0.776,0.79,0.62,0.55,0.49,-0.31,1.05
2,0.88,-0.42,0.360,0.74,0.58,0.11,0.18,0.22,0.44
3,-0.36,0.92,0.152,-0.12,-0.09,0.48,0.31,0.05,0.18
4,-0.71,-0.64,-0.682,-0.66,-0.53,-0.41,-0.48,0.72,-0.95
5,1.12,0.84,1.008,1.03,0.81,0.77,0.88,-0.52,1.48
6,0.55,-0.18,0.258,0.47,0.31,0.35,0.28,0.11,0.39
7,-0.22,0.63,0.120,-0.04,0.02,0.51,0.14,-0.09,0.21
8,-0.48,-0.73,-0.580,-0.51,-0.44,-0.29,-0.36,0.64,-0.81
9,0.96,0.52,0.784,0.83,0.67,0.82,0.62,-0.39,1.16
10,-0.15,-0.08,-0.122,-0.11,-0.04,0.20,-0.16,0.33,-0.19
