id,perseverance_effort,durable_interest,meaning,relationships,social_support,health_resources,depletion,flourishing
1,0.74,0.62,0.81,0.70,0.64,0.58,-0.31,1.12
2,-0.41,0.22,0.10,0.18,0.14,-0.22,0.48,-0.28
3,1.18,0.89,1.04,0.93,0.88,0.75,-0.62,1.57
4,0.09,-0.51,0.25,-0.14,-0.06,0.11,0.27,-0.02
5,-0.82,-0.44,-0.57,-0.63,-0.54,-0.49,0.74,-1.08
6,0.56,0.76,0.68,0.61,0.65,0.43,-0.22,0.91
7,0.33,-0.08,0.42,0.36,0.31,0.27,0.05,0.39
8,-0.38,-0.69,-0.34,-0.41,-0.37,-0.19,0.52,-0.75
9,0.98,0.48,0.85,0.79,0.77,0.66,-0.44,1.24
10,-0.56,0.03,-0.11,0.15,0.12,-0.33,0.39,-0.34
